"G_dryopteris_7981_A","G_dryopteris_7981_B","G_dryopteris_7981_C","G_dryopteris_7981_D","joint_prob","locus"
"7981_BLANK","7981_BLANK","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK","7981_BLANK2","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK","7981_copy1","7981_copy2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy1","7981_copy2","7981_BLANK",0.107461620849697,"APP"
"7981_BLANK","7981_BLANK","7981_copy2","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy2","7981_BLANK2",0,"APP"
"7981_BLANK","7981_BLANK2","7981_copy2","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy2","7981_BLANK2",0,"APP"
"7981_BLANK","7981_copy1","7981_copy2","7981_BLANK2",0.119243127454481,"APP"
"7981_BLANK2","7981_copy1","7981_copy2","7981_BLANK2",0,"APP"
"7981_BLANK","7981_BLANK","7981_copy2","7981_copy1",0,"APP"
"7981_BLANK2","7981_BLANK","7981_copy2","7981_copy1",0.394858978936094,"APP"
"7981_BLANK","7981_BLANK2","7981_copy2","7981_copy1",0.378436272759729,"APP"
"7981_BLANK2","7981_BLANK2","7981_copy2","7981_copy1",0,"APP"
"7981_BLANK","7981_copy1","7981_copy2","7981_copy1",0,"APP"
"7981_BLANK2","7981_copy1","7981_copy2","7981_copy1",0,"APP"
"7981_BLANK","7981_copy3","7981_copy1","7981_copy2",1,"GAP"
"7981_BLANK","7981_BLANK","7981_copy1","7981_copy2",0,"IBR"
"7981_BLANK2","7981_BLANK","7981_copy1","7981_copy2",0.508389860764013,"IBR"
"7981_BLANK","7981_BLANK2","7981_copy1","7981_copy2",0.491610139235987,"IBR"
"7981_BLANK2","7981_BLANK2","7981_copy1","7981_copy2",0,"IBR"
"7981_copy3","7981_BLANK","7981_copy2","7981_BLANK",0,"PGI"
"7981_copy3","7981_copy1","7981_copy2","7981_BLANK",0.0348089967868618,"PGI"
"7981_copy3","7981_BLANK","7981_copy2","7981_copy1",0.965191003213138,"PGI"
"7981_copy3","7981_copy1","7981_copy2","7981_copy1",0,"PGI"
