"G_dryopteris_7981_A","G_dryopteris_7981_B","G_dryopteris_7981_C","G_dryopteris_7981_D","joint_prob","locus"
"7981_BLANK","7981_copy2","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_BLANK",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_BLANK",0,"APP"
"7981_BLANK","7981_copy2","7981_copy1","7981_BLANK",0,"APP"
"7981_BLANK2","7981_copy2","7981_copy1","7981_BLANK",0.479293109603713,"APP"
"7981_BLANK","7981_copy2","7981_BLANK","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_BLANK2",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_BLANK2",0,"APP"
"7981_BLANK","7981_copy2","7981_copy1","7981_BLANK2",0.47143877186719,"APP"
"7981_BLANK2","7981_copy2","7981_copy1","7981_BLANK2",0,"APP"
"7981_BLANK","7981_copy2","7981_BLANK","7981_copy1",0,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK","7981_copy1",0.0221349518029275,"APP"
"7981_BLANK","7981_copy2","7981_BLANK2","7981_copy1",0.0271331667261692,"APP"
"7981_BLANK2","7981_copy2","7981_BLANK2","7981_copy1",0,"APP"
"7981_BLANK","7981_copy2","7981_copy1","7981_copy1",0,"APP"
"7981_BLANK2","7981_copy2","7981_copy1","7981_copy1",0,"APP"
"7981_BLANK","7981_copy1","7981_copy3","7981_copy2",1,"GAP"
"7981_BLANK","7981_copy1","7981_copy2","7981_BLANK",0,"IBR"
"7981_BLANK2","7981_copy1","7981_copy2","7981_BLANK",0.49946447697251,"IBR"
"7981_BLANK","7981_copy1","7981_copy2","7981_BLANK2",0.50053552302749,"IBR"
"7981_BLANK2","7981_copy1","7981_copy2","7981_BLANK2",0,"IBR"
"7981_copy3","7981_copy1","7981_BLANK","7981_BLANK",0,"PGI"
"7981_copy3","7981_copy1","7981_copy2","7981_BLANK",0.0867547304534095,"PGI"
"7981_copy3","7981_copy1","7981_BLANK","7981_copy2",0.91324526954659,"PGI"
"7981_copy3","7981_copy1","7981_copy2","7981_copy2",0,"PGI"
